code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,order,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno-So (Yendouma, JH and DT)",Ibi-So (JH),Donno-So (JH),Tomo Kan (Segue),Tomo Kan (Diangassagou),,"Tommo So (Tongo Tongo, JH)","Tommo-So (Tongo Tongo, LM)","Dogul Dom (Bendiely, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)",Mombo JH,"Mombo (Songho, KP)","Ampari (Nando, JH)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,"Bangime (Bounou, SE/JH)","Bangime (Bounou, AH)",,HS Songhay,TSK Songhay,,species,synonymy,book p,comment,domain,specimens
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50028,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alternanthera sessilis,,,Djenné; leaf oblanceolate-elliptic; petals not sharply pointed,plant,
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50029,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[hùb-ù]-[hàr-ìyà] [tone] (""...-male"") (also Cleome)",,,Amaranthus angustifolius,,,,plant,
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50033,,,2011,,herb sp.,plante herbacée sp.,,,,jèjêm nàrⁿàbìyà (leaves formerly used in sauces),yɛ̀-búmbà sàwà,,,bɛ́: wà ɔ̀yɔ́,gòdò-gódò,,,,,bɔ̀rɔ́,,ù-ɔ̀njù yà-ɲìnɛ̀,,,"gàbù úló xxx[verify] (""long go.up"")",búlù,nòndò-kó:,,,,,,"bè:-gé dwàmbè (""child pestle"")",,,"nèjjé pɔ́:ŋgè (""bird's fonio"")",,ŋàmbàrà súmbí (SE),,,,"mùsí-gòrùbú (""Mossi-Tribulus"")",,Amaranthus blitum subsp. emarginatus,Amaranthus viridis,,"close to A. spinosus; 3 sepals, no spikes, many flower spikes at end of stem",plant,"2004_205, 2004_335a"
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50030,,,2011,,herb sp.,plante herbacée sp.,,,,,,,ɲùgú,"ɲùgú, ɛ̀gɛ̀ yà: lùwɔ́",,,ɲùgú,,,,,wɛ́rdɛ̀:,,,xxx[elicit],,nòndò-kó:,,"nàwò:-bèlâ: (""cows-edible.leaf"")",,únɔ́mbúlɔ́,,,,,,,,,,,,,Amaranthus dubius,Amaranthus hybridus,,cultivated,plant (cultivated),2004_200/201/289/323
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50031,,,2011,,herb sp.,plante herbacée sp.,,,ɲùgú,,,,,,,,,,,,,,,,kùrù-kúrú xxx[verify],,,,,"ɔ̀gɔ̀-bòl-dònjò yé (""... female"", Tanga)",,,,,,,,,,,"[hùb-ù]-[hàr-ìyà] [tone] (""...-male"") (also Cleome)",,,Amaranthus graecizans,,,trailing or erect,plant,
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50032,,,2011,,herb sp.,plante herbacée sp.,,,,bàmàkó kòrúmùrò,,,,,,,,,"dɔ̀gɞ̀-jìjí (""Dogon-thorn"")",,ʔù-ʔɔ̀njù yà-bɔ̀rkɔ́,ù-ʔɔ̀njú,,xxx,,búlù,nòndò-kó:,,,,,,,,,,,ŋámbà(rà)ⁿ sùmbí (2011),,,,"mùsí-gòrùbú (""Mossi-Tribulus"")",,Amaranthus spinosus,,,close to A. viridis; 5 sepals; few flower spikes at end of stem; 2 thorny spikes at base of petiole,plant,
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50034,,,2011,,herb sp.,plante herbacée sp.,,,sàwà: kû:-pílɛ̀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celosia argentea,,,dense terminal spike (cf. Pandiaka),plant,
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50035,,,2011,,herb sp.,plante herbacée sp.,,árúkúsú-bɔ̀ŋ-ká:réy (< HS Songhay),yì-tɛ᷈: sàwà:,,,,,,,,,,,,,,,yààmpɛ̀ⁿ-sɛ́mmɛ́lɛ̀,"bànàn kílé xxx[verify] (""red grow.wild"", Z says it's a tree)",,,,,,,,,,,"swà: kólmbò (""mouse's cramcram"", also Pupalia)",,àdwàáyé děgé sǐmà (SE),,,,"hárkɔ̀sú-bôŋ-kɔ́:rɛ̂y (""placenta-head-white"")",,Celosia trigyna,,,flowers in interrupted spike,plant,
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50036,,,2011,,herb sp.,plante herbacée sp.,,,,,,,"ɔ̌n-[ɲù:-sɛ̌yⁿ] (""...-[millet-grain]"") [not rec M]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothosaerva brachiata,,,"betw Douentza & Fombori; erect, tiny white flowers in spiciform capitulum",plant,
flora,flowering,flore,fleurissant,200,5,Amaranthaceae,,,50037,,,2011,,herb sp.,plante herbacée sp.,,,[nǎ:-jìrè]-kó:sú,"tɔ́rɔ̀ sàwà (""mountain grass"")",ò:rò-bèrí,,"kù:ⁿ-pìrù jìrè-nùrⁿò-lǒy (""head-white eye-sickness-medicine"")","tùtùgùrò pírí, yà-ná: kú:-pírì",pɛ́n-ná:-pɛ́rù,,,,xxx,,fùláⁿ pɛ̀jíríⁿ,ɲàŋà-sɛ́ŋgɛ̀rɛ́,,mɛ̀lɛ̀gɛ̀m-jìgìríyé,"àntúmbúrúm kɛ̀ɲɲɛ̀ (""dwarf's cotton""), àntùmbùlùm-kɛ̀ɲɲɛ́ (JH < Ramata/Z), kèrù jígíríé, kèrù jìgìríyé (JH < Ramata)","yàgà-yágà, ándínjɛ̀ŋ kɔ̀:gù (""chameleon grass"")",dùlmà-zìndɛ́,,"[ànà-kùmì:]-jùnjû]\\[:ànà-kùm-bò]-jùnjî: (""bachelor-stirring.stick"")",,,,bàràmá-jèmbèrè,,,"kɔ̀jì-tùmà (""herb-stick"")",,"àdwày dɪ́gɪ̀sɪ̀wɛ̀ⁿ (SE), àdwàydígì sìwɛ̀:ⁿ (JH 05)",,,"bòŋ-kà:ríyâ (""head-white"") (also Polycarpaea)","hárkɔ̀sú-bôŋ-kɔ́:rɛ̂y (""placenta-head-white"")",,Pandiaka angustifolia,Pandiaka heudelotii,,"dense terminal spike (cf. Celosia argentea), long linear leaves (really bracts) at base of flowers",plant,2004_320-22
