code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,order,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno-So (Yendouma, JH and DT)",Ibi-So (JH),Donno-So (JH),Tomo Kan (Segue),Tomo Kan (Diangassagou),,"Tommo So (Tongo Tongo, JH)","Tommo-So (Tongo Tongo, LM)","Dogul Dom (Bendiely, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)",Mombo JH,"Mombo (Songho, KP)","Ampari (Nando, JH)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,"Bangime (Bounou, SE/JH)","Bangime (Bounou, AH)",,HS Songhay,TSK Songhay,,species,synonymy,book p,comment,domain,specimens
flora,flowering,flore,fleurissant,200,5,"Poaceae, Andropogoneae",,,50493,,,2011,,grass sp.,poacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyperthelia dissoluta,Hyparrhenia dissoluta,,"moist savanna; long bent awns,ligules hairless",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Andropogoneae",,,50494,,,2011,,tall grass sp.,grande poacée sp.,,,,,"àbà:-gìrⁿé (< TS ""papa made.happiness"", tall grass that looks like millet, so a young man approaching his field may think his deceased father planted it)",,,,,,,,,,,,,kàŋàmá,kàŋàmá,èsè-gùnnɔ́,,,sàkɔ̀rɛ́-ŋgó\\sàkɔ̀rɛ́,,,,"dàŋà-nàrá èmbà (""Danga.village-man-sorghum"")",,,bá:ká:ndè,,tùwɛ́ɛ́ bɔ̀sínjɛ̀ (SE),,,,,,Rottboellia cochinchinensis,,,tall (2m),plant,2004_163/164 Anda
flora,flowering,flore,fleurissant,200,5,"Poaceae, Andropogoneae",,,50495,,,2011,,sugar cane,canne à sucre,,,,,,,"sùkɔ̀rɔ̀-cè:rú (""sugar-stem"")",sùkɔ̀rɔ̀ kì-kɛ̀rú,,,sùkɔ̀rɔ̀-kèrú,"sìkɔ̀rɔ̀-kèrí ~ sùgɔ̀rɔ̀-kèrú (""sugar-stem"")",sìkɔ̀:rɔ̀-kèrú,kàlá,"cèrì dɛ́ⁿ (""stem sweet""), cèrì-kɔ̀ʔɔ̀ dɛ́ⁿ",sùkɔ̀rɔ̀-cérî:,,"kàlá, súkɔ̀rɔ̀-dínjɛ̀",xxx[elicit],kálá,,,,,ɛ̀mbà-dùmbé (also sweet sorghum),,sìkɔ̀rɔ̀ gèrúmbè,síkóró gérúmbè,múlè,sìnjà-n-dúmbé,,,,,,"súkkárò kɔ̌wrì (""sugar stem"")",,Saccharum officinarum,,,cultivated; distinct from sweet sorghum stalks,plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Andropogoneae",,,50496,,,2011,,reddish grass p.,poacée rougeâtre sp.,,,kèr-kɔ̌: ~ cèr-kɔ̌: (also some other awned grasses),,"ùsùrì bárⁿí (""broom red"")",,,,,,,"òlò-bàní (""...-red"")",,,,ònè-kɔ̀mbɔ́ (1 of 2),,òlò bánú,,sàsá-bɔ̌:rɔ̀,,,,"sòmbì-kɔ̌y (Tanga, also Elionurus)",,,,,,,,,,,,"gàndá-[sùbíy-ǎ:] (""ground-grass-Dimin"")",,Schizachyrium exile,,,close to S. sanguineum; turns blood-red,plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Andropogoneae",,,50497,,,2011,,grass sp.,poacée sp.,,,ɛ̀mɛ̀yⁿ-sá:rá,ɛ̀mbɛ̀y sá:rá,ɛ̀mbɛ̀-kóyô,,"ɛ̀mɛ̀-sá:rⁿá (""sorghum-..."")",ɛ̀rⁿɛ̀-è:mbɛ́,,,,"ɛ̀mɛ̀-sárⁿà (""sorghum-...""",ɛ̀mɛ̀ yǎ:,ɛ̀mmɛ̀-sàdàlá,pí-kà:nà,ɛ̀mbɛ̀ sákɛ̀:,,ɛ̀mmɛ̀ sàlàlá,xxx[elicit],ɛ̀mmɛ̀ sá:là,,"ɛ̀mà sálálá (""sorghum false"")","èmbà sàlàlâ:\\èmbà sàlàlɛ̂: (""sorghum long"", Mougui)",,ɛ̀mbà-sá:là,,èmbá sà:rò,ɛ́mbá sá:rò,sì:njá yàbà,,,,,,,"fèy-hàmbó (""sheep-sorghum"")",,Sorghum arundinaceum,,,wild sorghum; tall (2m),plant,2006_052
flora,flowering,flore,fleurissant,200,5,"Poaceae, Andropogoneae",,,50498,,,2011,,sorghum (sweet),"sorgho, petit mil",,,,,,,ɛ̀mɛ́,ɛ̀:mbɛ́,,,ɛ̀mɛ́,ɛ̀mɛ́,ɛ̀mɛ́,ɛ̀mmɛ́,ʔɛ́mbɛ́,ɛ́mbɛ̀:,,ɛ̀mmɛ́,ɛ̀mmɛ́,ɛ́mmɛ́,,,,,ɛ́mbà,,émbà,ɛ́mbà,sí:njà,sìnjá:-ŋgè,,,,,hà:m-ò,hàmbó,,Sorghum bicolor,,,cultivated grain,plant (cultivated),
flora,flowering,flore,fleurissant,200,5,"Poaceae, Andropogoneae",,,50499,,,2011,,sorghum (sweet),sorgho (doux),,,,,,,sàn-círⁿè,sàr-gínè,,,ɛ̀mɛ̀ sàŋkírⁿí,,sàrⁿùŋgɛ́rⁿɛ̀,"sànàkɛ́nɛ̀, ɛ̀mmɛ̀-[dùmb-î:]",,ɛ̀mbɛ̀ sùkɔ̀rɔ̀-cérí,,sànà-gɛ́nɛ́,"ɛ̀mmɛ̀ dùmbú (""sorghum short"")",sɛ́nɛ́gɛ́nɛ̀,,,,,ɛ̀mbà-dùmbé (also sugar cane),,gèrúmbè,gérúmbè,,sìnjà-n-dúmbé,,,,,káná:,ká:ná,,Sorghum bicolor (sweet-stemmed variety),,,"cultivated for sugarcane-like stem, cf. Saccharum",plant (cultivated),
flora,flowering,flore,fleurissant,200,5,"Poaceae, Andropogoneae",,,50501,,,2011,,aquatic grass sp.,poacée aquatique sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vossia cuspidata,,,"tall aquatic, Niger R. (Timbuktu)",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Aristideae",,,50502,,,2011,,grass sp.,poacée sp.,,,"[sà-sɔ̀ŋgɔ̀m]-[yɛ̀:-kǔ:] (""Aristida-sorceror)",,,,"ɔ̀yɔ̀ yórólóm (""grass lightweight"", cf. yɔ̀rú)","ì:sì-dúrɔ́, sɔ̀:ŋgɔ̀m yórólú",,,sógú,sóbù,,ó:lòŋ,,,,àntùmbùlùm-kɛ̌m,"sòm pááníyé (""horse choke"")","gá:ŋ òlò (""cat Aristida"", because short)",,,,"òndò-kɛ́mó ~ -cɛ́mɔ́ (Boui, ""monkey's spear""), kóybé yàŋgàrábè (Tanga)",gèní,gèní,"ɛ́mbɛ́rɛ́ kɛ̀m, kɔ̀jí-yùrɛ̀-ʔyúrɛ̀",ɛ́mbɛ́rɛ́ kêwⁿ,,"òlò élà (""Loudetia's co-wife"")",,,,,"háns-ó ʔánzùfô (""dog's tail"")","kàrì-bí: (""Aristida-black"")",,Aristida adscensionis,,,"small clumps, rocks, stems may turn blackish, 3-pronged awn 1-2 cm long",plant,2004_107
flora,flowering,flore,fleurissant,200,5,"Poaceae, Aristideae",,,50503,,,2011,,grass sp.,poacée sp.,,bùrò-sógú,"[sà-sɔ̀ŋgɔ̀m]-gùlɔ́ (""Aristida-slave"")",,sàwà-sɔ́:ŋɔ́ ~ sàwà-sɔ́:wⁿɔ́,,,,,,sógú,,,,"mɛ̀nɛ̀jɛ̀ⁿ-dòjú (""ants straw"")",òló:,,,,"gá:ŋ òlò (""cat Aristida"", because short), òlò píleɛ̀ⁿ (""Aristida white"")",,,sésébé-ŋgó\\sésébé,,,,,,,,,,,,,"kàrì-kɔ́:rɛ́y (""Aristida-white"")",,Aristida funiculata,,,"small clumps, sand, long awns, similar to A. mutabilis",plant,2004_105 Tabi
flora,flowering,flore,fleurissant,200,5,"Poaceae, Aristideae",,,50696,,,2011,,grass sp.,poacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aristida kerstingii,,,,plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Aristideae",,,50504,,,2011,,grass sp.,poacée sp.,,,"[sà-sɔ̀ŋgɔ̀m]-gùlɔ́ (""Aristida-slave"")",àmbàríyà sɔ̀ŋgɔ̀y,sàwà-sɔ́:ŋɔ́ ~ sàwà-sɔ́:wⁿɔ́,,,ì:sì-dúrɔ́,,,,,,,,,,,"yàmìɲjà ànú (""giraffe-foot"")",,,,sésébé-ŋgó\\sésébé,"sóɲóní dùlɔ́ (Boui, ""horses tail"")",,,,,,,,,,,"kàrìy-ò, kòms-ò súb-ó [ID, tone] (""bracelet grass"")","kàrì-kɔ́:rɛ́y (""Aristida-white"")",,Aristida mutabilis,,,"small clumps, sand, long awns, similar to A. funiculata",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Aristideae",,,50505,,,2011,,grass sp.,poacée sp.,,,,,"dùŋì-dúrâ (""elephant-tail""), pà:ŋgò:-dúrâ (""elephant-tail"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aristida sieberiana,,,"tall (to 1 m), sand, culm woody, very thin leaf",plant,2004_104 Anda
flora,flowering,flore,fleurissant,200,5,"Poaceae, Aristideae",,,50506,,,2011,,grass sp.,poacée sp.,,,sà-sɔ́ŋgɔ́m,sɔ́ŋgɔ́y,sàwà-sɔ́:ŋɔ́ ~ sàwà-sɔ́:wⁿɔ́,,"ɔ̀yɔ̀ yórólóm (""grass lightweight"", cf. yɔ̀rú)",sɔ̀:ŋgɔ̀m-gùlɔ́,írìm,,,,óró,,cìmí,,,"àntùmbùlùm-kɛ̌m (long awns), sòm pááŋíyⁿɛ́m (shorter awns)",,ólò,yɔ̯à:-sógù,ólò,,,ó:léwⁿ,,,,,,,gúmbɛ̀ntò (JH 05),,,"sùb-ù ká:r-ó (""grass white"")",kàrí,,Aristida spp. (various),,,,plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Aristideae",,,50507,,,2011,,grass sp.,poacée sp.,,dùŋ-dírá,kèr-kɔ̌: ~ cèr-kɔ̌: (also some other awned grasses),,"dɛ̀:gɛ̀-dúrâ (""baboon-tail""), dùŋì-dúrâ (""elephant-tail""), pà:ŋgò:-dúrâ (""elephant-tail"")",,,sɔ́:ŋgɔ́m,,,,"sòbù àrⁿá (""Aristida male"")",kàrí,kàlì-kàlí (based on 'bamboo'),,,,,,òlò kémú,,,,,,,,,,,,,,,"kùr-k-èy zâmb-íyà ""herders' cream.of.millet-Dimin"")",,,Aristida stipoides,,,"tall (to 1.5 m), sand",plant,2004_106/176 Anda
flora,flowering,flore,fleurissant,200,5,"Poaceae, Arundineae",,,50703,,,2011,,tall grass sp.,grande poacée sp.,,,,,,,,,,,,,,,,,,,,sà:yú,,,,,,,,,,,,,,,,,,Phragmites australis,,,"tall (2m+), large thick panicle, aquatic",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Arundineae",,,50508,,,2011,,tall grass sp.,grande poacée sp.,,,,,,,,,,,,,,,,,,,,,,,búrgù\\búrgì,,,,,,,,,,,,,,,Phragmites karka,,,"tall (2m+), large thick panicles (sometimes reddish)",plant,2004_112 Najamba
flora,flowering,flore,fleurissant,200,5,"Poaceae, Arundinelliae",,,50509,,,2011,,grass sp.,poacée sp.,,,"sà-sɔ̀ŋgɔ̀m ná: (""Aristida main"")",,sàwà-sɔ́:ŋɔ́ ~ sàwà-sɔ́:wⁿɔ́,,,sɔ́:ŋgɔ́m,,,,,,,ʔóló,,,òlò ná:,,"ólò, òlò nà:-dúlɔ̀ (""Aristida cow-tail"")",,,,"ò:lè (Tanga, spcm 2011)",,,,,,òlò,,,,,,"fɔ̀wnɔ̀-gúrú-ha᷈:wⁿ (""monkey-iron-awl"") (also Diheteropogon)",,Loudetia togoensis,,,"very long sickle-shaped awns , 3 spikelets on a pedicel",plant,"2004_110 Anda, 2004_175 Beni"
flora,flowering,flore,fleurissant,200,5,"Poaceae, Bambuseae",,,50510,,,2011,,bamboo,bambou,,,jìrⁿèy-jìrⁿěy,gìrⁿàgìrⁿá,gìrⁿá,,kàrⁿî:ⁿ,pá:ⁿ,kàrⁿî:ⁿ,,kàríⁿ,pá:ⁿ,kàrí,kàlí,kɛ̀lìⁿ-bàʔá,kɛ̀lìⁿ-bàgâ:,,pááⁿ,xxx[elicit],kàlí,pá:ⁿ,pâ:ⁿ,jìm-kújá:\\jìm-kújɛ́:,gí: ~ jí: (Boui),gì:ⁿwé tùmà,gì:wⁿě túmà,gî:ⁿ,gí:ⁿ,gìyó:-bè (pl -bě:-gè),ká:láwâl,,tàŋkàlâ (JH 05),,,,ʔàsɔ́kɔ́rɔ̀,,Oxytenanthera abyssinica,,A435,only local bamboo sp.,plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Cynodonteae",,,50512,,,2011,,grass sp.,poacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chloris gayana,,,"perennial with stolons, 7-10 thin spikes",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Cynodonteae",,,50513,,,2011,,grass sp.,poacée sp.,,,kû: cìrgěy-jô:,sùŋgí:dì,"lɛ̀:gɛ̀-[yù:-dìgɛ́] (""Dactyloctenium-...""), yù:-dìgɛ́",,,dà:ŋgèy gùlɔ́,,,,,,,sà-jèŋgé (former crisis food),dàŋà-dòjú,,,,yà-tímbɛ̀ gɔ̀:-gɔ̀: (also Dactyloctenium),,,,,,,nàríyà (also Dactyloctenium),,,,,tàŋà ŋ gújè (JH 05),,,,,,Chloris pilosa,,,3-23 short thick spikes turning purple then black,plant,2004_127/177
flora,flowering,flore,fleurissant,200,5,"Poaceae, Cynodonteae",,,50514,,,2011,,grass sp.,poacée sp.,,,,,,,,,,,,,,,,,,,"sòm bèlú xxx[verify] (""horse-fodder"")",,,,,,,,,,,,,,,,,,,Chloris robusta,,,"Bamako, Gao; 10-28 very thick spikes",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Cynodonteae",,,50515,,,2011,,grass sp.,poacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ctenium newtonii var. newtonii,,,"curly ""cat-tail"" spike (cf. Tetrapogon); reported Sanga",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Cynodonteae",,,50516,,,2011,,couch grass (Bermuda grass),poacée sp. (gazon),,,kěrsù,kèrésùm,kɛ̌rsî,,cí-cérjù,,,,bèrù-jɛ́ⁿ,,,,,,,pòɲɲò yǎ:,xxx[elicit],,,bùlɔ̀-mà-tâ:ⁿ ~ -tà:ⁿ,kèrkèjí,sèméŋ-kú: (Boui),,,,,xxx,,,"kʷɔ̌kɛ̀ (SE), kɔ́kɛ̀ (2011, s.t. extended to Eleusine)",,,sékétér-ò ~ séktér-ò,kɛ̌rsù ~ kɛ̀rúsù,,Cynodon dactylon,,,"forms lawns, sends down roots from nodes",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Cynodonteae",,,50517,,,2011,,grass sp.,poacée sp.,,,jàmsěy,sɔ́ŋgɔ́y (also Aristida spp.),"sùmàŋà-dúrà (""donkey-tail""), yù:-dìgɛ́, lɛ̀:gɛ̀-yù:dìgɛ́",,"ɔ̀yɔ̀ pírú (""grass white"")",,,,,,,,xxx,,,,dɛ̀gà dǔm,,,"ìzìl (""broom"")",,,,,"jè:ní nàrà (""broom male"")",,,"jɔ́mɛ́ dílò (""hare's tail"")",,"ɔ̀yɔ̀ pílɛ́ (SE), kùrɛ́ɛ́ntì (JH 05 ex SE)",,,,,,Enteropogon prieurii,Chloris prieurii,,,plant,"2004_119/120 Beni, Anda"
flora,flowering,flore,fleurissant,200,5,"Poaceae, Cynodonteae",,,50518,,,2011,,grass sp.,poacée sp.,,pɔ̀tɔ̀rɔ̀-pɔ̂w sɔ̀lɔ̀,sàwà: kìrgěy-tâ:n,"nà:-kɔ̀n-tɛ̀pɛ̂: sàwà:, sámà-nɛ́nɛ̀ (also Panicum), sɔ́ŋgɔ́y (also Aristida spp.)","ù̀sùrî (""broom"", used for light brooms)",,célbù,ɔ̀yɔ̀ pírí,ɔ̀yɔ̀-pírú,,ɔ́ⁿ-ɲɛ̀ŋɛ́rⁿɛ̀,jòbûl (also Eragrostis),óró,sáŋàlà,swìnì-gùnáⁿ,"sùnnì-gùnàní (""broom-slave"")",,"kèrù kúú-pílù, sàmàn-jò:lú","ìsè-dúlɔ́ (""horse-tail""), sàŋàn jòòlú, sàmàn-jò:lú (JH < Ramata, ""leatherworker-broom"")",sáŋàlàŋ,ìdìl-gùndɔ́,"ìzìl (""broom"")",gàŋà-dúlɔ̀:\\[gàŋà-mbò]-dúlɛ̀:,"íjílí (Boui, ""broom""), ijili balɛ (Boui), tágú ìjìlì (Tanga)","gèní dùndà (""broom slave"")","gèní (""broom"")","jɛ́:nì (""broom"")",jé:nì,"ɲéní-ŋgà (""broom"")","gè:ní èlà (""broom-cowife"")",,"gʸɛ́ɛ́rⁿɛ̀ŋgújɛ̀ɛ̀ (SE), gírə̀ ŋ gújè (JH 05)",,,"sùb-ù ká:r-ó (""grass white"")","sɔ́ŋɔ́-sùbù (""...-grass"")",,Schoenefeldia gracilis,,,2 long erect spikes not widely separated,plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Cynodonteae",,,50519,,,2011,,grass sp.,poacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hàylá-háfɛ̀ (""cat-tail"") (also Setaria)",,Tetrapogon cenchriformis,,,"curly ""cat-tail"" spike (cf. Ctenium); reported Gao and far north",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Cynodonteae",,,50520,,,2011,,grass sp.,poacée sp.,,,,,,,"[pè:j-î:ⁿ]-dúrɔ̀ (""lamb-tail"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tragus bertorianus,,,sand,plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Cynodonteae",,,50521,,,2011,,grass sp.,poacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tragus racemosus,,,"far north, sand",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50523,,,2011,,[deleted],[supprimé],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[deleted, see Dinebra]",,,,plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50522,,,2011,,grass sp.,poacée sp.,,dá:ŋgò,"dáŋgèy, sàwà: cìrgěy-jô:",sàwà-dɛ́:gɛ́,"lɛ́:kɛ̀ ~ lɛ́:gɛ̀, lɛ̀:gɛ̀ kû:-dúgì (""... head-big"")",,"déŋè, nà:-[dɔ̀:-[dɔ̌-y]] (""mother-insult-VblN"")",dá:ŋgèy,,,sǔy-mùyⁿ,"dɛ́ŋɛ̀, gámà dùmòjì (""cat's butt"")","gáma-bɔ̀: (""cat-..."")",kènné,sà-jèŋgé,sà:-jèŋgé,,kènníyè,"sàdèè pɔ̀ɔ́ⁿ xxx[verify], sàdà-ỳ pɔ̀ɔ́ⁿ (""bird-fonio,"" JH < Ramata)","lɛ́gɛ̀, yà-tímbɛ̀ gɔ̀:-gɔ̀: (also Chloris)",lɛ́gɛ̀,,nɛ́gɛ̀-ŋgò\\nɛ́gɛ̀,"nɛ̀gɛ̀ (Boui), nɛ̀gɛ̀ kɔ̌y (Tanga)",nɛ́gɛ́ (also Eleusine),,nàríyà (also Chloris),náríyà,xxx,nɛ́gɛ́ (also Eleusine),,"lɛ́gɛ̀ (SE), yɔ́ŋɔ́rɔ́ (JH 05)",,,"bòn-tàk-ò, sóy-lá:l-à:","bòŋ-tá:kí (""head-four"", referring to spikes)",,Dactyloctenium aegyptium,,,can form turfs; 4-5 thick spikes nearly horizontal,plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50524,,,2011,,grass sp.,poacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dinebra retroflexa var. retroflexa,,,reported Hombori,plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50525,,,2011,,grass sp.,poacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,nɛ́gɛ́ (also Dactyloctenium),,dèbìtá-pùtà,,,nɛ́gɛ́ (also Dactyloctenium),,"jáŋgáⁿtúpógóró gùjɛ̀ (2011), kɔ́kɛ̀ (2011, by extension from Cynodon)","jǎŋgà ǹtúpógóró gǔjɛ̀ɛ̀ (AH spcm 1), tɛ̀mɛ̀rⁿɛ̀ cɛ̌:rⁿɛ̀ (AH spcm 2)",,,,,Eleusine indica,,,ruderal (roadside),plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50526,,,2011,,grass sp. (stink grass),poacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eragrostis cilianensis,,,"wet sand; fairly large spikelets in variably dense or lax panicles, grey to purplish green",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50527,,,2011,,grass sp.,poacée sp.,,,"nìyⁿì-sàwâ: (""bird-grass"")",sɛ́sɛ̀nì pú:rⁿîm,"dà:-tɔ́sɔ̂ sàwà (""flat.rock-edge's grass"")",,,,,,,,,,,,,,,,,,,,,,,,,bòlèlè,,,,,,,,Eragrostis ciliaris,,,"ruderal (roadside); woolly reddish spikes (contracted, nearly spiciform), tiny spikelets",plant,2006_053
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50528,,,2011,,grass sp.,poacée sp.,,,"[sàwà-sè:]-gùlɔ́ (""Andropogon-slave"")",,,,,,,,sómúrⁿú,,,,,,,,,,,,,,,,,,,,,,,,,,,Eragrostis gangetica,,,"degraded open soils, roadside; densely clustered small oblong florets often tinted purple",plant,2006_051
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50529,,,2011,,grass sp.,poacée sp.,,,,,,,"cɛ̌-y (""pick.off-VblN""), sà:mà-[cɛ̌-y] (""broom-pick.off-VblN"", used for light brooms)",,,,,,,,,,,,xxx[elicit],fùy-gà-fúy ~ pùy-gà-púy,,,pílɛ́ndɛ́-ŋgó\\pílɛ́ndɛ́,,,,dú:nù-kó (Pinia spcm),,,,,,,,,,,Eragrostis pilosa,,,"lax but short-branched panicle with hairs at branch axes, small spikelets",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50530,,,2011,,grass sp.,poacée sp.,,,,yà:ná-kòpírì (also Sporobolus),,,,,sá:má,,,jòbûl (also Schoenefeldia),,,,,,,,,,,,,,,,,,,,,,,,,,Eragrostis spp. (several),,,"various spp., stems for brooms (Songhay)",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50531,,,2011,,grass sp.,poacée sp.,,zèrí,sàwà:-yòròló,,"àsìmá lɛ̀:-gó (""dandy fear not"", verb < Jamsay, a tenacious weed that causes much work to farmers)",,,kòmdò-tɛ̂n,,,sómúrⁿú,,,,,cùmî:,,"[ànà-wónnúŋ]-kùmɔ̀-séré (""man shows head"")",ɔ̀bɔ̀ ày yàdáá,gùwá sɛ̀ŋgìrɛ̀,kà:zùlá,"ʔə̀wà: pílɛ̀ (""grass white"")",òbǔl-mbò [kì: pìlɛ̀],"ìjò (Boui), ìjò kɔ̌y (Tanga)",ízó-ízó,ízó-ízó,ìjó-ìjò,,ʔìjò-ʔíjò,èjò-éjò,,"sambà pílɛ̀ (SE spcm 1), dɔ̀rɛ̀ɛ̀mpɔ̀ⁿ (SE spcm 2), gúyɛ̀ndé (JH 05)",,,ʔálmós-ò,lɛ̀w-káná,,Eragrostis tremula,,,"prairies in sandy plains, well-separated white florets in lax panicles",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50532,,,2011,,grass sp.,poacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eragrostis turgida,,,"reported Sanga, common in far north; relatively sparse panicle",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50533,,,2011,,grass sp.,poacée sp.,,,,,"lì:gì-pɔ̌:ⁿ (""bird-fonio.grain"")",,,sà-sày pɔ̌:ⁿ,pè:sî:ⁿ-dùrɔ̀,,,,,,pèlè-hɔ́ʔⁿɔ́,,,,,"lègé:gù pɔ̀ŋɔ̀ ~ lègè:gù-pɔ̀ŋɔ́ (""bird fonio"", also Panicum laetum)",,bàgòló-ʔə̀wà:,[sànàŋwɛ̀:-mbò]-[dìmbìr-î:],,,,dú:nù-kó,dú:nú kó:,,,,,,,,bábán-dǐnsà,,Sporobolus festivus,,,"rocky crevices, thin soils",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50534,,,2011,,grass sp.,poacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sporobolus helvolus,,,lightly inundated areas,plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50535,,,2011,,grass sp.,poacée sp.,,,,yà:ná-kòpírì (also Eragrostis),,,,,,,,,,,,,,"[gùlɔ̀nɔ̀]-kèrú (""new.mother-grass"", smells like a women who has given birth)","úlùm nàà=mbè kèrù (""children-mothers-grass"")",,,,,,ìní pɔ̀:ⁿ,"ìní ` pɔ́wⁿɔ́ (""bird's fonio"")",,,,,,,,,,,,Sporobolus microprotus,,,"roadsides, broad-spreading panicle, tiny florets",plant,
flora,flowering,flore,fleurissant,200,5,"Poaceae, Eragrostidae",,,50536,,,2011,,tiny grass sp.,poacée minuscule sp.,,,jàsúm-jàsárà,bábám-dìgísì,dìnjì-mírî,,,,,,,,,,xxx,"fùlà:ⁿ ìnjì-kùlɛ́ (vagina-hair"") (1 of 2)",,dúmmúlìyèm,xxx[elicit],jàmà:-kɔ̀:gú,,,dímìlɛ̀-ŋgò\\dímìlɛ̀,,,,,,,,,,,,,,,Tripogon minimus,,,"shallow soil near rocks, tiny grass",plant,2004_113/114/115
flora,flowering,flore,fleurissant,200,5,"Poaceae, Maedeae",,,50537,,,2011,,corn (maize),maïs,,,,,,,"pòrò:-ɲú: (""okra-millet"")",bàrà-ɛ̀mbɛ́,,,màɲɛ̀rⁿɛ̀má,sàrⁿà-ɛ̀mɛ́,,,,mɛ̀jɛ̀rɛ̀-ɲùmá:,,sànà-ɛ̀mmɛ́,,,,,,,,,gìrímbá yè,gírímbá:yè,dílímà,dàlmà-yógó,,,,,kòtkòl-ò ~ kòtùkòl-ò,"màlàŋ-hàmbó (""...-sorghum"")",,Zea mays,,,cultivated,plant (cultivated),
flora,flowering,flore,fleurissant,200,5,"Poaceae, Oryzaceae",,,50538,,,2011,,wild rice sp.,riz sauvage,,"sǎy mò (""bird's rice"")","à:rà-gùlɔ́ (""rice-slave"")",àrà sámbéy,,,"búró árà (""pond rice"")",,,,,,,,,,,àrà gɛ́m,xxx[elicit],,,,ɔ̀:rɛ̀-sámálá,,ɛ̀rɛ̀ sɛ́:gò,,,,,,,,,,gò:r-ò múwⁿn-ò,"kìrò-mɔ̂: (""bird-rice"")",,Oryza barthii,,,annual (roots weakly developed),plant,
